keyword,returned,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
sandpaper,True,True,27100,0.51,HIGH,,22200,27100,27100,33100,27100,27100,22200,22200,27100,27100,27100,22200
orbital sander,True,True,33100,0.57,HIGH,,40500,40500,40500,33100,33100,33100,33100,27100,33100,40500,40500,40500
jigsaw,True,True,246000,0.71,HIGH,,201000,201000,246000,550000,246000,201000,201000,201000,246000,246000,201000,201000
circular saw,True,True,90500,0.58,HIGH,,90500,90500,90500,90500,90500,90500,90500,74000,90500,90500,90500,90500
reciprocating saw,True,True,60500,0.57,HIGH,,60500,74000,60500,60500,74000,60500,49500,49500,60500,74000,74000,74000
angle grinder,True,True,74000,0.6,HIGH,,74000,74000,74000,110000,74000,60500,60500,60500,74000,90500,90500,74000
impact driver,True,True,49500,0.61,HIGH,,49500,60500,49500,49500,60500,49500,49500,40500,49500,49500,49500,49500
cordless drill,True,True,27100,0.59,HIGH,,27100,27100,27100,33100,33100,33100,22200,22200,27100,27100,22200,18100
battery pack,True,True,22200,1.15,HIGH,,22200,18100,18100,18100,22200,22200,33100,14800,18100,18100,18100,22200
work light,True,True,12100,0.78,HIGH,,9900,9900,12100,14800,18100,18100,12100,9900,12100,9900,9900,9900
clamp set,True,True,390,0.96,HIGH,,390,390,390,390,480,480,320,320,320,390,390,320
best laptop,True,True,90500,2.72,LOW,,33100,33100,33100,49500,49500,33100,33100,33100,49500,90500,550000,201000
best yoga mat,True,True,12100,1.82,HIGH,,14800,12100,9900,9900,18100,18100,14800,12100,12100,9900,9900,9900
best air fryer,True,True,74000,1.34,HIGH,,74000,74000,74000,60500,90500,90500,90500,60500,60500,60500,60500,60500
best kindle,True,True,6600,1.95,MEDIUM,,8100,5400,5400,5400,9900,12100,6600,4400,5400,5400,5400,6600
best protein powder,True,True,74000,1.8,HIGH,,90500,90500,74000,74000,60500,60500,110000,74000,90500,90500,74000,74000
best wireless earbuds,True,True,33100,1.59,HIGH,,40500,33100,33100,33100,40500,40500,27100,27100,40500,27100,27100,27100
best phone case,True,True,2400,1.94,HIGH,,2900,2400,2900,2400,2900,2900,2900,1900,2400,1900,1900,1900
best water bottle,True,True,22200,0.84,HIGH,,33100,33100,22200,18100,22200,22200,22200,18100,22200,22200,22200,22200
best led lights,True,True,1300,1.4,HIGH,,1600,1600,1300,1300,1900,1900,1300,1000,1300,1000,1000,1000
best gaming chair,True,True,27100,3.1,HIGH,,27100,27100,22200,22200,40500,40500,27100,22200,22200,18100,18100,18100
best desk lamp,True,True,2400,1.55,HIGH,,2900,2900,2400,2400,2900,2900,2900,1900,2400,1600,1600,1600
best bluetooth speaker,True,True,27100,2,HIGH,,40500,27100,27100,22200,33100,33100,18100,18100,22200,22200,27100,27100
best electric toothbrush,True,True,74000,1.9,HIGH,,90500,60500,60500,60500,90500,90500,74000,60500,60500,60500,60500,60500
best hair dryer,True,True,27100,2.41,HIGH,,27100,22200,22200,27100,40500,49500,27100,22200,22200,22200,22200,18100
best shampoo,True,True,18100,1.93,HIGH,,22200,22200,22200,18100,18100,18100,22200,18100,18100,18100,18100,18100
best conditioner,True,True,8100,1.08,HIGH,,9900,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
best running shoes,True,True,60500,1.32,HIGH,,60500,60500,60500,49500,60500,49500,49500,40500,60500,60500,60500,49500
best backpack,True,True,14800,1.45,HIGH,,27100,27100,12100,12100,14800,14800,12100,9900,12100,9900,12100,12100
best coffee maker,True,True,40500,1.06,HIGH,,40500,40500,40500,40500,60500,60500,49500,40500,40500,33100,33100,27100
best instant pot,True,True,5400,1.22,HIGH,,5400,4400,4400,5400,9900,12100,6600,4400,4400,3600,4400,4400
best robot vacuum,True,True,60500,2.86,HIGH,,74000,60500,49500,49500,90500,74000,49500,40500,49500,49500,49500,60500
best smart watch,True,True,8100,1.74,HIGH,,22200,8100,5400,5400,6600,5400,6600,5400,8100,9900,12100,12100
best tablet stand,True,True,140,0.66,HIGH,,210,140,210,170,140,170,140,110,90,110,110,90
best usb c hub,True,True,1300,0.84,MEDIUM,,1300,1000,880,1000,1000,1000,1000,720,3600,2400,1600,1000
best portable charger,True,True,14800,1.13,HIGH,,18100,14800,12100,12100,18100,22200,14800,9900,14800,14800,18100,18100
best webcam,True,False,,,,null search_volume,,,,,,,,,,,,
best mechanical keyboard,True,True,9900,1.14,HIGH,,9900,9900,8100,8100,12100,12100,9900,8100,12100,8100,8100,8100
best gaming mouse,True,True,18100,0.98,HIGH,,18100,18100,14800,14800,27100,27100,18100,22200,22200,14800,14800,14800
best monitor stand,True,True,1000,1.94,HIGH,,1300,1300,1000,1000,1300,1300,1000,880,880,880,880,880
best office chair,True,True,33100,4.53,HIGH,,40500,40500,33100,33100,40500,40500,33100,33100,33100,33100,27100,27100
best standing desk,True,True,9900,6.85,HIGH,,12100,9900,9900,8100,9900,8100,8100,8100,12100,9900,8100,8100
best mattress topper,True,True,27100,4.56,HIGH,,33100,33100,22200,22200,27100,22200,22200,22200,27100,27100,27100,27100
best pillow,True,True,40500,3.89,HIGH,,49500,49500,40500,40500,49500,60500,49500,40500,40500,40500,40500,33100
best duvet cover,True,True,8100,4.47,HIGH,,9900,9900,9900,9900,14800,9900,9900,8100,8100,6600,6600,5400
best kitchen knife,True,True,12100,2.1,HIGH,,9900,9900,9900,12100,27100,27100,12100,8100,8100,6600,8100,8100
best cutting board,True,True,27100,1.53,HIGH,,33100,27100,22200,22200,40500,40500,27100,18100,18100,18100,18100,18100
best cast iron skillet,True,True,12100,2.12,HIGH,,9900,9900,9900,12100,18100,22200,12100,9900,9900,8100,8100,8100
best blender,True,True,22200,1.3,HIGH,,27100,22200,18100,18100,27100,22200,22200,18100,22200,22200,22200,22200
best toaster,True,True,22200,1.01,HIGH,,18100,18100,18100,18100,27100,27100,22200,18100,18100,18100,18100,18100
best microwave,True,True,14800,1.25,HIGH,,14800,14800,12100,12100,18100,14800,18100,14800,14800,14800,14800,14800
best air purifier,True,True,49500,3.32,HIGH,,49500,60500,49500,49500,60500,49500,49500,40500,49500,40500,40500,40500
best humidifier,True,True,18100,2.03,HIGH,,8100,8100,9900,18100,40500,49500,40500,22200,12100,8100,8100,5400
best dehumidifier,True,True,14800,2.85,HIGH,,33100,22200,14800,12100,12100,9900,8100,6600,12100,14800,18100,22200
best space heater,True,True,9900,1,HIGH,,880,1600,3600,18100,22200,27100,27100,9900,2400,1600,1000,480
best fan,True,True,5400,1.12,HIGH,,12100,8100,3600,2400,1900,1600,1600,1900,5400,6600,8100,12100
best extension cord,True,True,1300,1.27,HIGH,,1600,1300,1000,1300,1300,1600,1300,1000,1300,1000,1000,1300
best power strip,True,True,1900,0.91,HIGH,,2400,1900,1600,1600,1900,1900,1900,1600,1600,1600,1600,1600
best surge protector,True,True,4400,0.98,HIGH,,5400,5400,3600,3600,4400,4400,4400,2900,3600,2900,2900,3600
best hdmi cable,True,True,3600,0.76,HIGH,,4400,3600,3600,3600,4400,5400,4400,3600,3600,2900,2900,3600
best ethernet cable,True,True,4400,0.96,HIGH,,4400,5400,4400,4400,4400,5400,4400,3600,4400,3600,3600,3600
best wifi router,True,True,12100,2.77,HIGH,,14800,14800,12100,12100,12100,12100,9900,9900,12100,9900,9900,9900
best mesh wifi,True,True,3600,2.11,HIGH,,6600,6600,4400,3600,3600,2900,2900,2400,2400,2400,2400,2900
best security camera,True,True,12100,6.11,HIGH,,18100,14800,14800,14800,14800,12100,9900,12100,12100,9900,9900,12100
best doorbell camera,True,True,14800,2.72,HIGH,,18100,14800,12100,14800,14800,14800,12100,18100,12100,12100,12100,14800
best smart bulb,True,True,3600,0.78,HIGH,,4400,5400,3600,4400,4400,3600,3600,2400,3600,2400,2400,2900
best smart plug,True,True,2400,0.89,HIGH,,2400,1900,1900,2900,5400,4400,2400,1900,1900,1300,1600,1600
best thermostat,True,True,6600,1.51,HIGH,,8100,6600,5400,8100,8100,6600,6600,4400,4400,3600,4400,5400
best pet bed,True,True,320,4.44,HIGH,,210,260,260,260,390,390,390,210,260,260,320,260
best dog leash,True,True,2900,1.69,HIGH,,3600,3600,2900,2900,2900,2900,2900,2400,2900,2900,2900,2400
best cat litter,True,True,27100,1.31,HIGH,,33100,33100,33100,33100,27100,27100,27100,22200,27100,27100,27100,27100
best bird feeder,True,True,4400,0.96,HIGH,,4400,2900,2400,2400,4400,6600,3600,3600,5400,6600,8100,5400
best camping tent,True,True,1000,0.74,HIGH,,1900,1300,1000,720,590,590,590,590,880,1000,1300,1300
best sleeping bag,True,True,4400,1.31,HIGH,,4400,4400,4400,4400,5400,4400,4400,2900,4400,4400,5400,3600
best hiking backpack,True,True,5400,1.11,HIGH,,8100,6600,5400,4400,4400,4400,4400,4400,5400,5400,6600,6600
best fishing rod,True,True,9900,0.81,HIGH,,14800,9900,8100,6600,6600,8100,4400,5400,9900,12100,14800,14800
best bicycle pump,True,True,1900,0.97,HIGH,,2900,2900,2400,1900,1900,1600,1300,1000,1900,2400,2400,2400
best bike lock,True,True,8100,0.94,HIGH,,12100,14800,12100,6600,5400,5400,5400,4400,8100,9900,12100,9900
best car phone mount,True,True,3600,0.97,HIGH,,5400,4400,4400,3600,4400,5400,2900,2400,2900,2900,3600,3600
best dash cam,True,True,22200,1.88,HIGH,,40500,33100,14800,18100,27100,27100,18100,14800,14800,14800,14800,14800
best tire inflator,True,True,5400,1.23,HIGH,,4400,4400,3600,5400,8100,9900,5400,4400,3600,3600,2900,2900
best jump starter,True,True,5400,1.59,HIGH,,5400,4400,4400,5400,8100,9900,8100,5400,4400,4400,4400,3600
best tool set,True,True,1300,0.73,HIGH,,1300,1300,1000,1300,1900,1900,1000,880,1000,1000,1000,1000
best drill,True,True,2900,0.71,HIGH,,2900,2900,2900,2900,3600,3600,2400,2400,2900,2900,3600,2900
best screwdriver set,True,True,2400,0.67,HIGH,,2400,2400,2400,2400,4400,4400,2400,1900,2400,2400,1900,2400
best measuring tape,True,True,5400,0.68,HIGH,,5400,5400,5400,6600,6600,6600,5400,5400,5400,5400,6600,6600
best paint roller,True,True,1000,1,HIGH,,1300,1600,1000,1000,1000,880,1000,1000,1300,1000,1300,1000
best garden hose,True,True,12100,1.02,HIGH,,18100,12100,8100,5400,3600,2900,2900,4400,14800,22200,27100,22200
best lawn mower,True,True,9900,1.2,HIGH,,14800,12100,8100,5400,4400,2400,3600,4400,14800,22200,18100,14800
best plant pot,True,True,170,1.28,HIGH,,170,140,140,140,170,110,110,110,170,210,210,170
best fertilizer,True,True,3600,0.67,MEDIUM,,2900,2400,1900,1600,1000,880,1300,2400,9900,8100,8100,6600
best sunscreen,True,True,33100,0.84,HIGH,,60500,27100,14800,9900,9900,9900,12100,18100,40500,40500,60500,74000
best moisturizer,True,True,14800,1.89,HIGH,,14800,14800,14800,14800,18100,14800,18100,14800,14800,14800,14800,12100
best face wash,True,True,22200,1.59,HIGH,,27100,27100,27100,22200,27100,22200,27100,22200,27100,22200,22200,22200
best body lotion,True,True,14800,1.22,HIGH,,14800,14800,12100,12100,14800,14800,18100,14800,14800,14800,12100,12100
best deodorant,True,True,12100,2.04,HIGH,,14800,14800,12100,9900,8100,8100,9900,9900,12100,12100,12100,12100
best razor,True,True,3600,2.44,HIGH,,5400,5400,4400,3600,3600,4400,3600,2900,3600,3600,3600,3600
best nail clipper,True,True,9900,1.4,HIGH,,9900,9900,9900,9900,9900,12100,12100,9900,9900,8100,8100,8100
best toothbrush,True,True,14800,2.57,HIGH,,18100,14800,14800,14800,18100,18100,18100,14800,18100,14800,14800,14800
best toothpaste,True,True,33100,2.01,HIGH,,40500,40500,33100,33100,33100,33100,40500,33100,40500,40500,40500,40500
best floss,True,True,9900,0.98,HIGH,,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
best vitamins,True,True,5400,6.2,HIGH,,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400
best protein bar,True,True,40500,0.92,HIGH,,49500,49500,40500,33100,27100,22200,49500,40500,40500,40500,33100,33100
best granola,True,True,2900,0.62,HIGH,,2900,2900,2400,2400,1900,1900,3600,2900,3600,2900,2900,2900
best olive oil,True,True,22200,1.13,HIGH,,22200,22200,18100,18100,22200,27100,27100,22200,22200,22200,22200,18100
best rice cooker,True,True,27100,1.06,HIGH,,27100,27100,27100,27100,33100,40500,33100,27100,27100,27100,27100,27100
best slow cooker,True,True,12100,0.92,HIGH,,9900,9900,14800,18100,22200,18100,14800,9900,9900,8100,6600,6600
best waffle maker,True,True,9900,0.79,HIGH,,9900,9900,9900,9900,14800,18100,12100,9900,9900,9900,8100,8100
best ice cream maker,True,True,9900,0.88,HIGH,,14800,9900,5400,5400,12100,12100,5400,5400,6600,6600,9900,12100
best juicer,True,True,18100,2.3,HIGH,,18100,18100,14800,14800,22200,22200,22200,18100,14800,14800,14800,12100
best food processor,True,True,12100,1.3,HIGH,,12100,12100,9900,12100,22200,18100,14800,9900,12100,9900,9900,9900
best hand mixer,True,True,8100,0.95,HIGH,,6600,5400,5400,6600,14800,18100,8100,6600,6600,5400,5400,5400
best phone charger,True,True,1000,1.5,HIGH,,1300,1000,1000,1000,1300,1600,1000,880,880,880,1000,1000
best usb cable,True,True,390,0.8,HIGH,,590,390,320,390,390,390,480,480,390,390,320,320
best laptop stand,True,True,1600,1.34,HIGH,,1600,1600,1600,1300,1600,1600,1600,1600,1600,1600,1300,1300
best microphone,True,True,3600,1.18,HIGH,,3600,3600,2900,2900,4400,4400,3600,2900,2900,3600,4400,2900
best headset,True,True,3600,2.02,HIGH,,4400,3600,2900,3600,5400,5400,3600,2900,2900,2900,2900,2900
best keyboard,True,True,12100,1.27,HIGH,,12100,12100,9900,12100,14800,18100,14800,12100,12100,9900,9900,9900
best mouse,True,True,8100,0.95,HIGH,,9900,9900,8100,8100,9900,9900,9900,8100,9900,8100,8100,8100
best mouse pad,True,True,6600,1.19,HIGH,,5400,5400,4400,4400,8100,8100,6600,6600,6600,5400,5400,5400
best desk organizer,True,True,320,1.03,HIGH,,320,390,320,260,320,320,390,210,260,210,260,260
best monitor arm,True,True,1000,1.87,HIGH,,1600,1300,1000,1000,1600,1300,1300,1000,1000,1000,1000,1000
best ssd drive,True,True,210,1.72,HIGH,,260,170,260,390,320,260,260,140,140,170,170,140
best hard drive,True,True,1000,1.54,HIGH,,1000,1000,1000,1000,1300,1000,1000,880,880,880,720,720
best flash drive,True,True,4400,0.61,HIGH,,5400,5400,5400,5400,5400,4400,4400,4400,4400,4400,3600,3600
best memory card,True,True,210,0.49,HIGH,,210,170,170,170,210,210,170,210,170,140,210,170
best router,True,True,9900,1.55,HIGH,,12100,12100,9900,9900,12100,9900,9900,8100,9900,9900,9900,8100
best printer,True,True,5400,1.55,HIGH,,5400,5400,5400,4400,5400,5400,5400,5400,5400,5400,5400,4400
best ink cartridge,True,True,140,1.69,HIGH,,140,110,110,110,140,140,210,170,140,170,110,110
best paper towels,True,True,2400,0.89,HIGH,,2400,2400,2400,1900,1900,1900,2400,1900,2400,1900,2400,1900
best trash bags,True,True,590,0.89,HIGH,,720,720,590,590,590,590,720,480,590,590,590,720
best laundry detergent,True,True,27100,1.44,HIGH,,27100,33100,27100,27100,27100,27100,27100,22200,27100,27100,27100,27100
best fabric softener,True,True,2900,0.96,HIGH,,3600,3600,2900,2900,2900,2900,3600,2900,2900,2900,2900,2400
best dishwasher pods,True,True,4400,0.83,HIGH,,4400,4400,4400,5400,4400,4400,5400,4400,4400,4400,4400,4400
best hand soap,True,True,5400,1.74,HIGH,,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
best body wash,True,True,12100,1.07,HIGH,,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100
best lip balm,True,True,18100,1.05,HIGH,,12100,12100,12100,18100,27100,33100,27100,18100,14800,14800,12100,9900
best shaving cream,True,True,4400,1.34,HIGH,,5400,4400,4400,3600,3600,4400,3600,3600,4400,4400,4400,4400
best cotton swabs,True,True,390,0.95,HIGH,,880,480,720,880,720,390,210,210,210,140,110,140
best band aids,True,True,260,1.17,HIGH,,480,390,320,260,210,260,320,260,260,260,260,260
best first aid kit,True,True,2400,2.56,HIGH,,2900,2400,2400,1900,1900,2400,2400,1900,2900,2400,2400,2400
best vitamins d,True,True,4400,2.99,HIGH,,4400,4400,4400,4400,4400,5400,5400,5400,5400,5400,4400,4400
best fish oil,True,True,3600,2.39,HIGH,,4400,3600,3600,3600,2900,2900,3600,3600,3600,3600,3600,2900
best collagen,True,True,9900,3.67,HIGH,,9900,9900,8100,8100,8100,8100,12100,9900,9900,9900,12100,9900
best creatine,True,True,27100,3.01,HIGH,,27100,27100,27100,22200,22200,18100,27100,27100,33100,27100,27100,27100
best pre workout,True,True,33100,1.98,HIGH,,33100,33100,33100,27100,27100,27100,40500,33100,33100,33100,27100,27100
best protein shake,True,True,33100,2.63,HIGH,,40500,40500,33100,27100,22200,22200,40500,33100,33100,33100,27100,27100
best meal prep containers,True,True,2900,0.8,HIGH,,3600,3600,2900,2400,2400,2900,4400,2900,2900,2900,2900,2900
best water filter,True,True,22200,3.67,HIGH,,33100,27100,22200,18100,18100,18100,22200,18100,27100,22200,22200,18100
best coffee beans,True,True,12100,2.41,HIGH,,9900,9900,9900,9900,14800,22200,14800,12100,12100,9900,9900,9900
best tea bags,True,True,1300,1.32,HIGH,,880,880,1000,1300,1600,1900,1900,1300,1000,880,880,590
best matcha,True,True,8100,2.69,HIGH,,12100,9900,8100,6600,8100,8100,8100,6600,8100,8100,9900,8100
best protein cookies,True,True,480,1.53,HIGH,,590,590,480,590,390,390,590,480,480,590,480,480
best energy drinks,True,True,18100,5.38,HIGH,,18100,18100,18100,18100,14800,14800,14800,14800,18100,22200,18100,18100
best soda stream,True,True,590,1.69,HIGH,,480,590,390,390,880,1000,720,480,480,480,590,590
best blender bottle,True,True,590,1.05,HIGH,,720,720,590,480,590,720,720,590,590,590,480,480
best lunch box,True,True,5400,0.8,HIGH,,8100,9900,5400,3600,4400,4400,4400,3600,4400,3600,4400,4400
best thermos,True,True,1600,0.88,HIGH,,1600,1600,1600,1600,2400,2900,1900,1300,1300,1000,1000,1000
best travel mug,True,True,3600,0.85,HIGH,,3600,3600,3600,3600,5400,8100,3600,2900,2900,2900,2400,2400
best wine glasses,True,True,3600,2.59,HIGH,,3600,3600,2900,3600,6600,8100,3600,2900,3600,2900,2900,2400
best baking sheet,True,True,9900,1.2,HIGH,,6600,6600,6600,8100,18100,22200,9900,6600,6600,6600,6600,5400
best mixing bowls,True,True,1900,1.2,HIGH,,1900,1600,1600,1600,3600,3600,2400,1600,1300,1300,1300,1300
best storage bins,True,True,720,1.23,HIGH,,880,880,720,720,880,880,1000,590,720,590,590,590
best vacuum bags,True,True,390,1.94,HIGH,,480,390,320,320,390,390,480,390,390,480,480,480
best hangers,True,True,2400,1.34,HIGH,,2900,2400,2400,2400,2400,2400,2400,1900,1900,1900,1900,1900
best shoe rack,True,True,1900,1.4,HIGH,,2400,2400,1900,1900,1900,2400,1900,1300,1600,1900,1600,1600
best laundry basket,True,True,3600,1.14,HIGH,,4400,4400,3600,3600,4400,4400,4400,3600,3600,3600,3600,3600
best ironing board,True,True,4400,1.03,HIGH,,5400,5400,4400,3600,4400,3600,3600,2900,3600,3600,4400,4400
best steam iron,True,True,3600,1.42,HIGH,,5400,4400,3600,3600,3600,2900,2900,2400,4400,3600,3600,3600
best tower fan,True,True,5400,1.46,HIGH,,12100,8100,4400,2400,1900,1300,1300,1600,5400,5400,8100,12100
best ceiling fan,True,True,8100,1.61,HIGH,,14800,9900,8100,6600,6600,4400,5400,5400,8100,8100,8100,9900
best light bulbs,True,True,2400,0.78,HIGH,,2400,2900,2900,2900,3600,2900,2900,2400,2400,2400,2400,1900
best smoke detector,True,True,5400,1.42,HIGH,,6600,6600,5400,6600,6600,5400,5400,5400,5400,4400,4400,4400
best carbon monoxide detector,True,True,12100,3.7,HIGH,,5400,5400,5400,8100,8100,8100,14800,22200,40500,18100,9900,9900
best fire extinguisher,True,True,480,1.73,HIGH,,590,390,590,480,590,480,590,390,590,390,390,480
best tape measure,True,True,5400,0.68,HIGH,,5400,5400,5400,6600,6600,6600,5400,5400,5400,5400,6600,6600
best level tool,True,True,140,0.51,HIGH,,140,140,140,110,170,210,110,90,110,170,140,140
best paint brushes,True,True,1600,0.59,HIGH,,1600,1600,1600,1600,1900,1900,1600,1600,1600,1600,1600,1600
best wallpaper,True,True,14800,2.3,HIGH,,14800,18100,18100,18100,14800,14800,18100,14800,14800,14800,14800,9900
best curtain rods,True,True,1300,2.5,HIGH,,1600,1600,1300,1300,1600,1300,1600,1000,1600,1300,1300,1300
best blackout curtains,True,True,5400,2.27,HIGH,,6600,6600,4400,3600,4400,3600,4400,3600,5400,4400,6600,6600
best throw pillows,True,True,1300,2.26,HIGH,,1600,1600,1600,1300,1600,1300,1300,1000,1000,1000,1000,880
best blanket,True,True,6600,5.29,HIGH,,3600,4400,5400,6600,14800,18100,6600,4400,3600,4400,4400,3600
best bed sheets,True,True,33100,5.71,HIGH,,40500,40500,33100,33100,49500,40500,33100,33100,33100,33100,33100,27100
best pillow cases,True,True,1000,4.05,HIGH,,1000,880,880,880,1300,1300,1000,880,1000,880,880,880
best alarm clock,True,True,6600,0.92,HIGH,,6600,8100,6600,6600,8100,9900,8100,6600,6600,5400,5400,5400
best night light,True,True,1300,1.01,HIGH,,1300,1600,1600,1600,1900,1600,1600,1000,1300,1300,1300,1000
best book light,True,True,2400,0.75,HIGH,,2400,1900,1900,1900,3600,5400,3600,2400,1900,1900,1900,1900
best kindle case,True,True,1900,1.1,HIGH,,1900,1300,1000,1300,1900,2900,2400,1600,1600,1600,1600,1900
best ipad case,True,True,3600,1.28,HIGH,,4400,3600,3600,3600,4400,8100,4400,2900,2900,2900,2900,2900
best phone holder,True,True,880,1.65,HIGH,,1000,1000,880,880,1000,1300,880,720,880,880,880,880
best car mount,True,True,260,0.86,HIGH,,390,320,320,210,260,390,210,210,260,260,260,210
best car vacuum,True,True,8100,1.2,HIGH,,9900,8100,8100,8100,9900,12100,6600,6600,8100,8100,9900,8100
best car phone charger,True,True,390,0.74,HIGH,,480,480,390,390,320,390,320,260,390,390,390,320
best bike lights,True,True,2900,1,HIGH,,4400,4400,4400,4400,4400,2900,1900,1600,2900,2900,2900,2900
best helmet,True,True,1300,1.1,HIGH,,1300,1600,1600,1300,1300,1000,1000,1000,1300,1600,1600,1600
best yoga block,True,True,90,1.66,HIGH,,70,70,90,70,110,90,110,90,90,110,90,110
best resistance bands,True,True,5400,1.04,HIGH,,5400,4400,4400,3600,4400,4400,5400,4400,4400,5400,6600,5400
best dumbbells,True,True,1600,2.69,HIGH,,1600,1600,1300,1300,1600,1600,1900,1300,1600,1900,2900,1600
best kettlebell,True,True,3600,1.59,HIGH,,3600,2900,2400,2400,3600,4400,4400,2900,3600,2900,2900,3600
best jump rope,True,True,2400,1.17,HIGH,,2900,2400,2400,2400,2400,2400,2900,2400,2900,2900,2900,2900
best foam roller,True,True,1900,0.97,HIGH,,2400,1900,1900,1600,1900,2400,1900,1600,1900,1900,1900,1900
best massage gun,True,True,12100,2.22,MEDIUM,,12100,12100,9900,12100,18100,27100,12100,9900,9900,9900,8100,9900
best running belt,True,True,3600,1.26,HIGH,,4400,3600,4400,3600,3600,2900,2900,2900,4400,4400,4400,4400
best gym bag,True,True,6600,1.84,HIGH,,6600,6600,5400,5400,8100,9900,9900,6600,6600,5400,5400,5400
best camping stove,True,True,2400,0.82,HIGH,,3600,2900,2400,1900,1900,1600,2400,1300,3600,2900,3600,3600
best flashlight,True,True,18100,0.98,HIGH,,18100,18100,18100,18100,27100,27100,18100,14800,14800,12100,12100,12100
best headlamp,True,True,8100,1.05,HIGH,,6600,8100,8100,9900,18100,18100,9900,6600,6600,5400,6600,5400
best pocket knife,True,False,,,,null search_volume,,,,,,,,,,,,
best multi tool,True,True,3600,1.04,HIGH,,3600,3600,3600,3600,4400,4400,2900,2400,2900,2400,2900,2400
best suitcase,True,True,8100,4.49,HIGH,,9900,8100,8100,8100,12100,9900,8100,8100,8100,6600,8100,8100
best travel adapter,True,True,1300,0.8,HIGH,,1600,1300,1000,1000,1000,1000,880,880,1000,1000,1900,1300
best packing cubes,True,True,6600,2.14,HIGH,,8100,8100,5400,4400,8100,8100,5400,4400,5400,5400,6600,6600
best passport holder,True,True,1600,1.39,HIGH,,1900,1600,1300,1300,1900,2400,1600,1600,1900,1300,1600,1600
best wallet,True,True,8100,2.84,HIGH,,9900,9900,8100,8100,9900,9900,8100,5400,6600,6600,8100,6600
best crossbody bag,True,True,4400,1.6,HIGH,,5400,5400,4400,4400,5400,6600,4400,3600,4400,4400,4400,4400
best tote bag,True,True,6600,1.65,HIGH,,8100,8100,6600,6600,9900,8100,6600,5400,6600,6600,6600,6600
best messenger bag,True,True,390,1.64,HIGH,,590,590,390,390,480,390,390,390,390,320,390,390
best sunglasses,True,True,6600,2.71,HIGH,,9900,6600,5400,4400,4400,4400,3600,4400,8100,6600,8100,8100
best reading glasses,True,True,4400,3.31,HIGH,,5400,5400,5400,5400,4400,5400,5400,4400,4400,4400,4400,3600
best watch band,True,True,1600,1.81,HIGH,,1600,1600,1600,1600,1600,1600,1600,1300,1600,1600,1600,1600
best necklace,True,True,480,4.97,HIGH,,390,390,320,320,480,590,480,320,390,590,590,480
best bracelet,True,True,590,2.22,MEDIUM,,320,320,320,260,390,480,590,320,590,1000,1900,590
best earrings,True,True,720,4.25,HIGH,,590,590,590,590,880,1000,720,590,590,720,880,720
best ring box,True,True,50,1.01,HIGH,,50,70,70,50,70,70,70,20,40,50,50,50
best jewelry organizer,True,True,720,1.15,HIGH,,880,720,590,590,880,1000,880,590,590,480,590,590
best dog collar,True,True,6600,2.36,HIGH,,8100,8100,6600,6600,6600,6600,6600,5400,6600,5400,5400,5400
best aquarium filter,True,True,1900,0.7,HIGH,,2400,1900,1900,1600,1900,1600,1900,1900,1900,1900,1600,1600
best plant pots,True,True,170,1.28,HIGH,,170,140,140,140,170,110,110,110,170,210,210,170
best leaf blower,True,True,9900,1.54,HIGH,,6600,6600,8100,14800,22200,9900,4400,4400,9900,9900,8100,6600
best pressure washer,True,True,18100,1.45,HIGH,,27100,22200,18100,12100,12100,8100,8100,9900,22200,27100,27100,22200
best patio furniture,True,True,2900,4.19,HIGH,,4400,3600,2400,1900,1900,1000,1600,2400,5400,5400,5400,4400
best grill cover,True,True,720,1.63,HIGH,,880,590,720,390,390,390,390,260,720,880,1000,1000
best coolers,True,True,9900,1.27,HIGH,,22200,14800,12100,8100,6600,5400,4400,4400,8100,8100,12100,18100
best ice packs,True,True,1600,1.35,HIGH,,2900,2400,1600,1300,1000,880,1000,880,1300,1600,1600,2400
best beach towel,True,True,5400,2.38,HIGH,,9900,5400,1900,1300,2400,3600,1900,2400,6600,5400,8100,9900
best swim goggles,True,True,5400,1.24,HIGH,,12100,6600,4400,3600,4400,4400,4400,3600,5400,5400,6600,9900
best snorkel set,True,True,480,1.44,HIGH,,720,480,320,260,390,390,390,390,480,390,480,480
best tackle box,True,True,1300,0.84,HIGH,,2400,1600,1300,880,1000,1600,720,590,1300,1300,1900,2400
best binoculars,True,True,9900,1.99,HIGH,,12100,9900,9900,9900,14800,12100,8100,6600,8100,8100,9900,9900
best telescope,True,True,6600,1.7,HIGH,,5400,6600,6600,8100,12100,9900,5400,5400,6600,6600,4400,4400
best microscope kit,True,True,10,5.82,HIGH,,0,10,10,10,10,10,0,10,10,10,0,10
best lego set,True,True,22200,0.38,HIGH,,18100,14800,14800,18100,33100,40500,27100,14800,14800,14800,14800,14800
